"time","http_get_count","http_post_count","http_get_avg_ms","http_get_max_ms","http_post_avg_ms","http_post_max_ms","system_cpu_percent","process_cpu_percent","total_memory_used_mib","total_memory_committed_mib"
2022-05-12 07:30:00,0.0667,386,37.6,49.4,17.4,769,67.4,15.6,222,394
2022-05-12 07:30:15,0.0667,375,29.3,49.4,18.1,74.7,68.9,16.7,260,394
2022-05-12 07:30:30,0.0667,362,26.1,49.4,19.0,74.7,70.5,15.8,263,394
2022-05-12 07:30:45,0.0667,354,29.0,49.4,19.5,139,67.6,16.6,292,394
2022-05-12 07:31:00,0.0667,352,30.6,49.2,19.6,139,68.1,16.2,315,394
2022-05-12 07:31:15,0.0667,352,27.0,49.2,19.4,150,68.7,16.0,316,394
2022-05-12 07:31:30,0.0667,345,34.1,50.6,19.5,150,68.2,15.2,301,394
2022-05-12 07:31:45,0.0667,348,37.0,50.6,19.3,150,66.5,17.2,169,394
2022-05-12 07:32:00,0.0667,354,40.7,50.6,18.6,150,66.5,17.6,213,395
2022-05-12 07:32:15,0.0667,365,33.6,50.6,18.0,150,66.3,17.1,266,395
2022-05-12 07:32:30,0.0667,367,35.4,50.6,17.7,150,66.1,16.8,318,395
2022-05-12 07:32:45,0.0667,369,30.7,50.6,17.6,150,66.3,16.8,196,395
2022-05-12 07:33:00,0.0667,370,28.4,50.6,17.5,150,66.9,17.2,266,395
2022-05-12 07:33:15,0.0667,371,27.7,50.6,17.5,91.8,65.7,16.6,324,395
2022-05-12 07:33:30,0.0667,373,34.1,50.6,17.7,91.8,68.4,17.1,215,395
2022-05-12 07:33:45,0.0667,367,37.2,50.6,18.5,91.8,68.9,16.5,245,395
2022-05-12 07:34:00,0.0667,363,35.7,43.2,19.1,91.8,68.7,17.0,274,395
2022-05-12 07:34:15,0.0667,361,32.0,43.2,19.5,95.2,67.7,16.4,326,395
2022-05-12 07:34:30,0.0667,369,31.4,43.2,19.7,95.2,69.7,16.9,223,395
2022-05-12 07:34:45,0.0667,372,31.3,43.2,20.0,144,68.4,16.5,276,395
2022-05-12 07:35:00,0.0667,378,32.9,41.2,19.9,144,68.3,17.4,190,395
2022-05-12 07:35:15,0.0667,379,29.9,41.2,19.3,144,66.4,17.0,265,395
2022-05-12 07:35:30,0.0667,385,30.6,41.2,18.8,144,68.4,16.8,181,395
2022-05-12 07:35:45,0.0667,385,34.8,45.1,18.6,144,68.1,16.9,266,395
2022-05-12 07:36:00,0.0667,385,39.0,45.1,18.4,144,67.8,16.7,339,395
2022-05-12 07:36:15,0.0667,379,36.5,45.1,18.2,144,68.7,16.3,225,395
2022-05-12 07:36:30,0.0667,375,31.1,45.1,18.1,144,67.1,16.6,288,395
2022-05-12 07:36:45,0.0667,370,28.4,45.1,18.4,144,67.5,16.2,330,395
2022-05-12 07:37:00,0.0667,373,30.9,45.1,18.3,144,68.2,16.9,231,395
2022-05-12 07:37:15,0.0667,374,36.5,45.9,18.0,65.5,67.2,16.6,293,395
2022-05-12 07:37:30,0.0667,376,43.0,45.9,17.4,65.5,65.7,15.8,179,395
2022-05-12 07:37:45,0.0667,375,43.9,45.9,17.2,65.5,67.0,16.6,248,395
2022-05-12 07:38:00,0.0667,374,35.4,45.9,17.2,65.5,65.9,15.4,307,395
2022-05-12 07:38:15,0.0667,375,28.3,45.9,17.1,61.4,66.3,15.6,200,395
2022-05-12 07:38:30,0.0667,372,28.0,45.9,17.2,61.4,66.9,16.1,248,395
2022-05-12 07:38:45,0.0667,372,38.5,52.0,17.7,65.8,68.5,15.6,301,395
2022-05-12 07:39:00,0.0667,366,41.4,52.0,18.2,65.8,68.4,14.3,335,395
2022-05-12 07:39:15,0.0667,354,40.3,52.0,19.4,65.8,73.1,13.8,310,395
2022-05-12 07:39:30,0.0667,355,33.7,52.0,19.2,66.2,68.4,15.4,193,395
2022-05-12 07:39:45,0.0667,359,32.3,52.0,18.8,66.2,67.8,15.4,255,395
2022-05-12 07:40:00,0.0667,379,33.1,52.0,17.7,66.2,68.8,16.1,172,395
2022-05-12 07:40:15,0.0667,383,29.4,52.0,17.4,66.2,67.0,15.3,257,395
2022-05-12 07:40:30,0.0667,388,31.7,52.0,17.4,66.2,67.0,15.3,169,395
2022-05-12 07:40:45,0.0667,389,25.7,52.0,17.2,66.2,67.4,15.4,274,395
2022-05-12 07:41:00,0.0667,390,27.6,39.5,17.1,66.2,67.8,15.2,193,395
2022-05-12 07:41:15,0.0667,390,26.2,39.5,16.8,66.2,67.2,15.1,288,395
2022-05-12 07:41:30,0.0667,378,29.1,39.5,17.4,68.7,69.0,14.7,311,395
2022-05-12 07:41:45,0.0667,365,30.0,39.5,19.1,92.8,67.3,14.2,287,395
2022-05-12 07:42:00,0.0667,350,32.7,38.8,20.3,92.8,66.2,15.1,247,395
2022-05-12 07:42:15,0.0667,342,33.8,38.8,20.9,92.8,64.5,15.1,200,395
2022-05-12 07:42:30,0.0667,337,35.8,38.8,20.3,92.8,64.8,15.9,326,395
2022-05-12 07:42:45,0.0667,334,31.1,38.8,22.1,152,66.5,17.8,301,395
2022-05-12 07:43:00,0.0667,331,25.9,38.8,23.0,152,68.3,17.2,276,395
2022-05-12 07:43:15,0.0667,333,26.5,38.8,22.8,152,66.7,17.7,274,395
2022-05-12 07:43:30,0.0667,337,26.4,38.8,20.8,152,66.3,17.4,290,395
2022-05-12 07:43:45,0.0667,346,29.4,38.8,19.5,152,66.1,17.0,307,395
2022-05-12 07:44:00,0.0667,345,28.7,36.9,19.1,152,65.9,17.6,288,395
2022-05-12 07:44:15,0.0667,345,26.5,36.9,19.3,152,66.6,19.0,304,395
2022-05-12 07:44:30,0.0667,341,29.1,36.9,19.8,152,66.9,18.1,293,395
2022-05-12 07:44:45,0.0667,340,23.5,36.9,20.5,185,64.9,17.9,291,395
2022-05-12 07:45:00,0.0667,337,31.4,41.2,20.9,185,66.1,18.7,306,395
2022-05-12 07:45:15,0.0667,337,33.4,41.2,20.7,185,67.0,18.5,327,395
2022-05-12 07:45:30,0.0667,337,33.3,41.2,20.3,185,66.6,18.5,340,395
2022-05-12 07:45:45,0.0667,336,31.0,41.2,19.9,185,66.1,19.1,198,395
2022-05-12 07:46:00,0.0667,334,28.8,41.2,20.0,185,65.7,19.3,211,395
2022-05-12 07:46:15,0.0667,332,34.4,41.2,19.9,185,65.7,18.1,217,395
2022-05-12 07:46:30,0.0667,331,30.3,41.2,20.2,185,66.6,19.1,229,395
2022-05-12 07:46:45,0.0667,328,32.5,41.2,20.6,298,66.1,19.3,221,395
2022-05-12 07:47:00,0.0667,325,28.6,40.9,20.9,298,65.7,18.9,224,395
2022-05-12 07:47:15,0.0667,323,34.0,40.9,20.9,298,66.4,20.2,243,395
2022-05-12 07:47:30,0.0667,314,29.7,40.9,21.1,298,67.2,17.9,213,395
2022-05-12 07:47:45,0.0667,307,28.1,40.9,22.1,298,67.2,17.7,347,395
2022-05-12 07:48:00,0.0667,299,27.1,40.9,23.0,298,67.4,18.8,326,395
2022-05-12 07:48:15,0.0667,300,33.1,45.9,23.3,298,67.1,17.9,313,395
2022-05-12 07:48:30,0.0667,306,34.9,45.9,22.3,298,65.9,19.2,329,395
2022-05-12 07:48:45,0.0667,306,35.0,45.9,22.0,298,68.8,19.6,322,395
2022-05-12 07:49:00,0.0667,306,32.1,45.9,22.7,298,69.1,19.6,311,395
2022-05-12 07:49:15,0.0667,300,41.1,50.3,23.4,126,68.2,19.0,307,395
2022-05-12 07:49:30,0.0667,300,39.9,50.3,23.7,126,70.3,20.1,313,395
2022-05-12 07:49:45,0.0667,301,43.2,50.3,23.3,126,67.5,20.6,330,395
2022-05-12 07:50:00,0.0667,306,34.8,50.3,23.2,135,66.4,20.4,225,395
2022-05-12 07:50:15,0.0667,306,33.9,50.3,23.4,135,67.8,20.1,247,395
2022-05-12 07:50:30,0.0667,310,24.9,50.3,23.7,135,70.0,21.3,303,395
2022-05-12 07:50:45,0.0667,306,22.8,50.3,24.2,135,69.4,20.7,322,395
2022-05-12 07:51:00,0.0667,313,18.6,50.3,23.8,135,68.0,21.2,238,395
2022-05-12 07:51:15,0.0667,311,18.1,50.3,24.1,150,70.3,20.4,282,395
2022-05-12 07:51:30,0.0667,319,26.9,50.3,23.6,150,68.7,21.4,350,395
2022-05-12 07:51:45,0.0667,311,27.3,50.3,24.5,150,69.6,20.6,234,395
2022-05-12 07:52:00,0.0667,311,31.6,45.2,24.4,150,70.0,21.4,297,395
2022-05-12 07:52:15,0.0667,307,29.8,45.2,25.6,220,70.7,21.9,219,395
2022-05-12 07:52:30,0.0667,306,35.3,45.2,28.0,296,72.7,21.2,258,395
2022-05-12 07:52:45,0.0667,300,31.9,45.2,28.3,296,69.3,20.6,298,395
2022-05-12 07:53:00,0.0667,301,24.7,45.2,28.3,296,68.4,23.1,250,395
2022-05-12 07:53:15,0.0667,306,26.3,45.2,25.7,296,68.6,23.0,326,395
2022-05-12 07:53:30,0.0667,310,29.0,45.2,25.3,296,67.8,22.3,256,395
2022-05-12 07:53:45,0.0667,308,42.4,58.8,25.7,296,67.9,22.5,343,395
2022-05-12 07:54:00,0.0667,312,37.4,58.8,26.5,296,70.6,24.0,336,395
2022-05-12 07:54:15,0.0667,312,37.6,58.8,27.3,296,69.1,23.1,317,395
2022-05-12 07:54:30,0.0667,306,30.5,58.8,30.2,334,68.8,22.3,283,395
2022-05-12 07:54:45,0.0667,293,29.1,58.8,37.7,632,72.5,23.3,345,395
2022-05-12 07:55:00,0.0667,287,35.7,58.8,40.5,632,72.6,24.3,312,395
2022-05-12 07:55:15,0.0667,282,31.6,58.8,40.5,632,69.7,22.7,299,395
2022-05-12 07:55:30,0.0667,278,31.7,58.8,34.7,632,72.6,23.1,253,395
2022-05-12 07:55:45,0.0667,276,26.1,58.8,33.2,632,69.7,23.5,341,395
2022-05-12 07:56:00,0.0667,281,30.6,49.8,30.3,632,69.7,24.9,331,395
2022-05-12 07:56:15,0.0667,290,42.5,55.7,29.2,632,70.3,25.0,326,395
2022-05-12 07:56:30,0.0667,291,47.1,55.7,30.1,632,71.3,24.5,290,395
2022-05-12 07:56:45,0.0667,284,50.2,55.7,34.0,652,67.0,23.7,252,395
2022-05-12 07:57:00,0.0667,277,48.8,55.7,37.2,652,70.5,24.7,350,395
2022-05-12 07:57:15,0.0667,280,48.2,55.7,36.8,652,70.6,25.2,282,395
2022-05-12 07:57:30,0.0667,283,49.1,55.7,36.4,652,69.7,24.4,311,395
2022-05-12 07:57:45,0.0667,281,42.3,55.7,35.3,652,69.1,24.1,338,395
2022-05-12 07:58:00,0.0667,275,43.2,55.7,37.8,652,69.6,24.2,261,395
2022-05-12 07:58:15,0.0667,271,36.4,55.7,36.3,652,69.7,26.2,290,395
2022-05-12 07:58:30,0.0667,277,35.4,55.7,35.1,652,72.6,27.1,272,395
2022-05-12 07:58:45,0.0667,277,31.7,55.7,33.5,652,69.4,25.2,310,395
2022-05-12 07:59:00,0.0667,274,32.7,50.9,34.1,652,69.1,25.7,346,395
2022-05-12 07:59:15,0.0667,264,29.9,50.9,34.5,304,68.1,25.1,300,395
2022-05-12 07:59:30,0.0667,267,33.5,50.9,35.9,304,72.1,27.3,305,395
2022-05-12 07:59:45,0.0667,267,33.9,50.9,35.9,304,69.4,25.8,291,395
2022-05-12 08:00:00,0.0667,267,43.4,48.2,36.0,304,71.8,26.0,274,395
2022-05-12 08:00:15,0.0667,255,34.0,48.2,36.3,277,74.0,25.6,321,395
2022-05-12 08:00:30,0.0667,253,38.0,48.2,35.5,277,73.6,26.6,318,395
2022-05-12 08:00:45,0.0667,252,36.0,48.2,37.5,327,69.5,26.4,322,395
2022-05-12 08:01:00,0.0667,256,45.9,49.2,36.4,327,71.8,26.1,346,395
2022-05-12 08:01:15,0.0667,252,45.9,49.2,37.6,327,69.3,25.9,347,395
2022-05-12 08:01:30,0.0667,256,39.2,49.2,36.7,327,72.5,28.6,329,395
2022-05-12 08:01:45,0.0667,263,29.5,49.2,43.9,360,76.5,31.9,293,395
2022-05-12 08:02:00,0.0667,291,30.8,50.0,119,1237,84.7,34.8,319,395
2022-05-12 08:02:15,0.0667,332,37.6,50.0,273,1660,88.9,40.5,334,395
2022-05-12 08:02:30,0.0667,367,43.9,50.0,392,1681,90.6,41.0,308,395
2022-05-12 08:02:45,0.0667,397,43.1,50.0,439,1681,87.6,39.5,331,395
2022-05-12 08:03:00,0.0667,413,45.2,50.0,414,2208,89.6,39.5,310,395
2022-05-12 08:03:15,0.0667,426,48.9,50.5,404,2208,93.6,39.6,329,395
2022-05-12 08:03:30,0.0667,424,51.5,55.3,379,2208,92.1,39.5,312,395
2022-05-12 08:03:45,0.0667,410,50.5,55.3,373,2208,88.4,36.4,313,395
2022-05-12 08:04:00,0.0667,412,53.0,58.0,315,2208,87.7,38.6,312,395
2022-05-12 08:04:15,0.0667,418,51.1,58.0,298,2208,90.9,41.3,336,395
2022-05-12 08:04:30,0.0667,415,45.2,58.0,274,2208,86.7,36.7,312,395
2022-05-12 08:04:45,0.0667,412,48.0,66.3,288,2208,87.6,38.2,302,395
2022-05-12 08:05:00,0.0667,412,48.0,66.3,280,2208,88.2,40.0,318,395
2022-05-12 08:05:15,0.0667,424,55.1,66.3,280,1927,89.4,39.8,322,395
2022-05-12 08:05:30,0.0667,428,51.2,66.3,290,1927,89.5,39.2,314,395
2022-05-12 08:05:45,0.0667,424,50.5,66.3,325,1927,88.2,38.5,345,395
2022-05-12 08:06:00,0.0667,419,51.3,66.3,344,1927,88.5,39.2,349,395
2022-05-12 08:06:15,0.0667,417,48.2,66.3,360,1927,93.8,41.6,310,395
2022-05-12 08:06:30,0.0667,408,49.0,66.3,368,1960,88.2,37.4,353,395
2022-05-12 08:06:45,0.0667,404,51.9,60.4,356,1960,89.0,38.3,327,395
2022-05-12 08:07:00,0.0667,392,51.5,60.4,321,1960,88.4,38.2,326,395
2022-05-12 08:07:15,0.0667,399,51.9,60.4,301,1960,92.9,39.7,348,395
2022-05-12 08:07:30,0.0667,349,47.8,60.4,246,1960,67.1,26.3,318,395
2022-05-12 08:07:45,0.0667,302,39.7,60.4,179,1960,70.4,29.0,335,395
2022-05-12 08:08:00,0.0667,246,40.0,60.4,55.2,1960,69.3,27.4,339,395
2022-05-12 08:08:15,0.0667,244,37.4,60.4,37.2,1960,68.1,27.7,345,395
2022-05-12 08:08:30,0.0667,286,37.2,60.4,94.4,1960,83.1,36.7,354,395
2022-05-12 08:08:45,0.0667,335,35.0,60.4,111,1960,86.9,38.9,329,395
2022-05-12 08:09:00,0.0667,381,38.2,52.1,133,1960,86.2,37.7,346,395
2022-05-12 08:09:15,0.0667,380,48.4,52.1,110,1389,85.9,37.5,341,395
2022-05-12 08:09:30,0.0667,379,42.5,52.1,130,1389,91.1,37.2,342,395
2022-05-12 08:09:45,0.0667,371,44.6,56.0,120,1389,87.3,35.8,334,395
2022-05-12 08:10:00,0.0667,361,46.9,56.6,118,1389,84.2,33.5,308,395
2022-05-12 08:10:15,0.0667,339,56.2,56.6,82.6,1389,82.1,32.8,344,395
2022-05-12 08:10:30,0.0667,340,56.1,56.6,74.8,1389,87.7,36.2,305,395
2022-05-12 08:10:45,0.0667,331,55.0,56.6,66.8,1389,79.9,31.2,329,395
2022-05-12 08:11:00,0.0667,316,51.4,56.6,59.8,1389,73.1,30.1,312,395
2022-05-12 08:11:15,0.0667,282,45.5,56.6,49.4,1009,69.7,28.2,320,395
2022-05-12 08:11:30,0.0667,255,34.2,56.6,35.9,1009,66.4,25.0,318,395
2022-05-12 08:11:45,0.0667,246,32.6,56.6,35.7,1009,70.9,27.8,343,395
2022-05-12 08:12:00,0.0667,234,36.4,56.0,34.2,1009,71.3,25.7,305,395
2022-05-12 08:12:15,0.0667,234,38.3,56.0,34.9,680,71.0,26.3,349,395
2022-05-12 08:12:30,0.0667,236,41.3,56.0,35.0,680,69.9,28.0,343,395
2022-05-12 08:12:45,0.0667,236,35.6,56.0,33.8,680,63.0,23.7,337,395
2022-05-12 08:13:00,0.0667,244,37.3,49.8,33.5,680,69.9,27.7,340,395
2022-05-12 08:13:15,0.0667,243,29.9,49.8,32.9,207,70.2,27.7,332,395
2022-05-12 08:13:30,0.0667,255,26.3,49.8,32.7,207,70.1,28.4,337,395
2022-05-12 08:13:45,0.0667,248,32.5,49.8,32.6,207,67.1,26.0,346,395
2022-05-12 08:14:00,0.0667,246,29.9,49.5,33.0,207,67.3,27.3,326,395
2022-05-12 08:14:15,0.0667,242,39.1,49.5,34.7,207,71.8,27.4,313,395
2022-05-12 08:14:30,0.0667,240,35.5,49.5,35.7,207,71.8,25.8,322,395
2022-05-12 08:14:45,0.0667,240,41.1,49.5,37.2,207,71.7,28.7,352,395
2022-05-12 08:15:00,0.0667,242,31.3,49.4,35.9,207,69.5,28.1,353,395

